Car ID,Brand,Model,Year,Color,Mileage,Price,Location
475,Honda,Civic,2016,White,40000,18000,Atlanta
476,Ford,Fiesta,2017,Blue,35000,20000,Phoenix
477,Chevrolet,Cruze,2019,Black,55000,19000,Houston
478,Hyundai,Elantra,2017,Red,50000,23000,Seattle
479,Toyota,Camry,2020,Silver,40000,21000,Los Angeles
480,Honda,Accord,2019,White,35000,24000,New York
481,Ford,Mustang,2016,Blue,70000,20000,Chicago
482,Chevrolet,Camaro,2016,Red,55000,22000,Miami
483,Hyundai,Genesis,2015,Black,50000,24000,San Francisco
484,Toyota,Avalon,2017,Silver,45000,23000,Dallas
485,Honda,Civic,2018,Gray,40000,27000,Atlanta
486,Ford,Fusion,2020,White,35000,25000,Phoenix
487,Chevrolet,Impala,2016,Blue,70000,28000,Houston
488,Hyundai,Sonata,2020,Red,55000,22000,Seattle
489,Toyota,Corolla,2017,Silver,50000,21000,Los Angeles
490,Honda,CR-V,2018,White,45000,26000,New York
491,Ford,Escape,2016,Blue,30000,29000,Chicago
492,Chevrolet,Equinox,2015,Black,35000,27000,Miami
493,Hyundai,Tucson,2015,Red,55000,12000,San Francisco
494,Toyota,Rav10,2019,Gray,50000,15000,Dallas
495,Honda,Pilot,2018,White,40000,17000,Atlanta
496,Ford,Explorer,2020,Blue,60000,14000,Phoenix
497,Chevrolet,Traverse,2015,Black,55000,12000,Houston
498,Hyundai,Santa Fe,2017,Red,45000,18000,Seattle
499,Toyota,4Runner,2020,Silver,35000,16000,Los Angeles
500,Honda,Odyssey,2018,White,55000,14000,New York
